 ,Australia,Belgium,Canada,Switzerland,Germany,Denmark,Spain,Finland,France,UK,Ireland,Italy,Japan,S. Korea,Luxembourg,Netherlands,Norway,New Zealand,Sweden,US,S. Africa,Croatia,Israel,
1975:Q1,72.13,66.15,70.62,73.36,65.20,70.21,71.77,52.89,66.12,49.90,52.03,61.94,62.18,25.44,37.25,77.32,45.75,80.51,72.57,57.24,98.35,8.43,48.03,
1975:Q2,71.41,68.34,71.45,72.68,65.89,71.65,71.36,53.20,66.31,49.05,51.29,63.86,62.71,26.03,36.81,78.92,46.91,78.88,72.90,58.68,98.94,8.60,52.52,
1975:Q3,70.63,70.23,72.21,72.25,66.65,72.78,71.22,53.73,67.32,48.99,50.59,65.38,63.31,26.91,37.24,79.21,48.03,78.46,73.16,58.22,99.09,8.71,54.71,
1975:Q4,69.63,71.78,72.36,72.02,66.82,73.74,71.38,56.41,68.27,48.51,49.90,66.78,63.84,27.41,38.37,80.57,49.14,77.63,73.42,58.29,99.32,8.85,52.55,
1976:Q1,69.25,73.03,72.79,71.54,66.83,74.54,72.57,52.77,67.63,48.63,49.22,67.08,64.25,28.33,39.75,80.91,50.22,75.98,73.88,58.57,98.42,9.00,50.52,
1976:Q2,69.64,73.73,74.32,71.50,66.98,75.24,72.80,53.14,67.74,48.44,48.88,66.81,64.40,29.16,40.99,81.11,51.12,74.50,74.17,58.68,97.18,9.09,46.55,
1976:Q3,71.14,74.01,72.17,71.54,67.15,75.82,72.89,52.69,68.36,49.04,48.84,66.78,64.60,29.38,41.71,81.93,51.88,74.15,74.32,58.80,96.46,9.19,43.64,
1976:Q4,71.09,74.04,74.23,71.69,67.81,76.21,72.84,52.56,68.55,48.22,48.99,66.81,64.73,30.34,41.76,81.09,52.60,73.85,74.37,58.86,97.06,9.32,43.68,
1977:Q1,70.72,72.43,73.11,71.72,68.30,76.23,72.20,51.98,68.61,47.23,49.64,67.44,64.70,29.73,41.52,82.35,53.17,72.31,74.84,58.78,98.53,9.40,44.37,
1977:Q2,70.22,72.52,74.05,72.19,68.93,76.49,72.20,51.71,68.68,46.98,50.21,68.20,64.88,30.60,41.44,81.32,53.71,70.60,74.50,59.16,97.68,9.50,46.38,
